sweep,v(q),v(o)
0.000000000000000e+00,0.000000000000000e+00,-9.099712591345487e-02
5.000000000000000e+00,5.000000000000000e+00,-8.534033503767208e-02
1.000000000000000e+01,1.000000000000000e+01,-6.836989190361790e-02
1.500000000000000e+01,1.500000000000000e+01,-4.008581996187803e-02
2.000000000000000e+01,2.000000000000000e+01,-4.881191349479712e-04
2.500000000000000e+01,2.500000000000000e+01,5.042321068550109e-02
3.000000000000000e+01,3.000000000000000e+01,1.126481696387628e-01
3.500000000000000e+01,3.500000000000000e+01,1.861867578948406e-01
4.000000000000000e+01,4.000000000000000e+01,2.710389756544894e-01
4.500000000000000e+01,4.500000000000000e+01,3.672048231489769e-01
5.000000000000000e+01,5.000000000000000e+01,4.746843006401090e-01
5.500000000000000e+01,5.500000000000000e+01,5.934774084199391e-01
6.000000000000000e+01,6.000000000000000e+01,7.235841468106632e-01
6.500000000000000e+01,6.500000000000000e+01,8.650045161644463e-01
7.000000000000000e+01,7.000000000000000e+01,1.017738516863254e+00
7.500000000000000e+01,7.500000000000000e+01,1.181786149318580e+00
8.000000000000000e+01,8.000000000000000e+01,1.357147413971228e+00
8.500000000000000e+01,8.500000000000000e+01,1.543822311291148e+00
9.000000000000000e+01,9.000000000000000e+01,1.741810841777075e+00
9.500000000000000e+01,9.500000000000000e+01,1.951113005956300e+00
1.000000000000000e+02,1.000000000000000e+02,2.171728804384410e+00
1.050000000000000e+02,1.050000000000000e+02,2.403658237644901e+00
1.100000000000000e+02,1.100000000000000e+02,2.646901306348942e+00
1.150000000000000e+02,1.150000000000000e+02,2.901458011135014e+00
1.200000000000000e+02,1.200000000000000e+02,3.167328352668534e+00
1.250000000000000e+02,1.250000000000000e+02,3.444512331641517e+00
1.300000000000000e+02,1.300000000000000e+02,3.733009948772208e+00
1.350000000000000e+02,1.350000000000000e+02,4.032821204804724e+00
1.400000000000000e+02,1.400000000000000e+02,4.343946100508518e+00
1.450000000000000e+02,1.450000000000000e+02,4.666384636678131e+00
1.500000000000000e+02,1.500000000000000e+02,5.000136814132647e+00
1.550000000000000e+02,1.550000000000000e+02,5.345202633715379e+00
1.600000000000000e+02,1.600000000000000e+02,5.701582096293259e+00
1.650000000000000e+02,1.650000000000000e+02,6.069275202756450e+00
1.700000000000000e+02,1.700000000000000e+02,6.448281951568978e+00
1.750000000000000e+02,1.750000000000000e+02,6.831691492887128e+00
1.800000000000000e+02,1.800000000000000e+02,6.909974268600035e+00
1.850000000000000e+02,1.850000000000000e+02,6.910208492056144e+00
1.900000000000000e+02,1.900000000000000e+02,6.909972386979677e+00
1.950000000000000e+02,1.950000000000000e+02,6.909992338617045e+00
2.000000000000000e+02,2.000000000000000e+02,6.910009285204456e+00
